Type,Name,Source,Five a Day,Spring,Summer,Autumn,Winter
Kolacja,"Tarta z burakiem, fetą i szpinakiem",Cookido,1,W,L,J,Z
Kolacja,Ziemniaki z Chorizo (Patatas Bravas),Cookido,0,,,,
Kolacja,Quesadilas z fasolą i guacamole,Hello Fresh/Cookido,2,,,,
Kolacja,Tosty z serem,,,,,,
Kolacja,Bruschetta,,,,,,
Kolacja,Jogurt,,,,,,
Kolacja,Jacked Potatoes,,,,,,
Kolacja,Jacked Potatoes with Cream Cheese,,,,,,
Kolacja,Jacked Potatoes with Tuna Mayo,,,,,,
Kolacja,Jacked Potatoes with Beans,,,,,,
Kolacja,Jacked Potatoes with Cheese,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Makaron,Makaron z tuńczykiem,Cookido,,,,,
Makaron,Makaron z sosem pomidorowym,Cookido,,,,,
Makaron,Makaron z sosem pomidorowym z mascarpone,Cookido,,,,,
Makaron,Makaron z pesto,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Pizza,Khachapuri,Cookido,0,,,,
Pizza,Gozleme (tureckie),Cookido,1,,,,
Pizza,Pizza Margherita,,,,,,
Pizza,Pizza z mięsem,,,,,,
Pizza,"Ciasto Francuskie z bakłażanem, pomidorem i fetą",Kwestia Smaku,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Zupa,Grzybowa,,,,,,
Zupa,Cebulowa,Cookido,,,,,
Zupa,Pomidorowa,Cookido,,,,,
Zupa,Grochowa,Cookido,,,,,
Zupa,Marchewkowa z soczewicą,Cookido,,,,,
Zupa,Chickpea soup with spinach,Cookido,,,,,
Zupa,Jerusalem artichoke soup,Cookido,,,,,
Zupa,Leek and Potato,Cookido,,,,,
Zupa,Beetroot Soup,Cookido,,,,,
Zupa,Barszcz ukraiński,,,,,,
Zupa,Ogórkowa,Cookido,,,,,
Zupa,Broccoli and pea soup,Cookido,,,,,
Zupa,Spiced Moroccan lentil soup,Cookido,,,,,
Zupa,,,,,,,
